Game ,Win/Loss,Margin,Shots Taken ,Assists
11/21/08,W,14,18,2
11/23/08,W,10,20,6
11/25/08,W,27,17,4
11/28/08,W,7,26,5
11/30/08,W,13,14,7
12/2/08,L,-1,21,2
12/3/08,W,12,20,4
12/5/08,W,2,17,7
12/7/08,W,13,13,8
12/9/08,L,-12,25,3
12/10/08,W,5,16,3
12/12/08,W,9,21,3
12/14/08,W,12,24,5
12/16/08,W,2,22,6
12/19/08,L,-2,24,3
12/20/08,L,-3,31,3
12/22/08,W,9,23,3
12/23/08,W,13,18,4
12/25/08,W,9,23,5
12/28/08,W,17,15,4
1/2/09,W,13,23,4
1/4/09,W,14,19,3
1/6/09,L,-11,22,7
1/7/09,W,8,20,5
1/9/09,W,2,20,13
1/11/09,W,3,14,7
1/13/09,W,5,32,4
1/14/09,L,-1,19,10
1/16/09,L,-6,26,11
1/19/09,W,17,22,12
1/21/09,W,11,15,12
1/22/09,W,20,11,5
1/25/09,W,14,17,3
1/27/09,L,-7,28,5
1/30/09,W,13,23,5
1/31/09,W,17,20,7
2/2/09,W,9,31,3
2/4/09,W,8,28,5
2/5/09,W,1,29,5
2/8/09,W,10,17,2
2/10/09,W,7,26,1
2/11/09,L,-4,33,4
2/17/09,W,13,12,2
2/18/09,W,8,22,9
2/20/09,W,4,30,5
2/22/09,W,3,21,7
2/24/09,W,14,21,5
2/26/09,W,26,13,8
2/27/09,L,-11,31,2
3/1/09,L,-7,38,2
3/3/09,W,10,23,2
3/6/09,W,20,17,4
3/9/09,L,-17,29,3
3/11/09,W,6,23,6
3/12/09,W,7,21,6
3/15/09,W,7,20,5
3/17/09,L,-1,15,5
3/19/09,W,8,25,2
3/21/09,W,8,25,7
3/24/09,W,18,18,5
3/26/09,W,15,18,7
3/27/09,W,8,19,9
3/29/09,L,-10,19,4
3/31/09,L,-10,28,2
4/1/09,W,6,19,4
4/3/09,W,12,11,7
4/5/09,W,3,15,5
4/7/09,W,18,16,4
4/9/09,W,14,19,2
4/10/09,L,-8,24,2
4/12/09,W,17,9,4
4/14/09,W,13,11,5
4/19/09,W,13,17,8
4/21/09,W,10,17,9
